Time
2022-12-26 18:56:11.928012
2022-12-26 18:56:37.086049,"[261, 0]"
2022-12-26 18:57:01.598998,"[316, 4]"
2022-12-26 18:58:01.418174,"[319, 282]"
2022-12-26 18:59:01.641529,"[293, 36]"
2022-12-26 19:00:01.928225,"[273, 36]"
2022-12-26 19:01:01.243130,"[261, 36]"
2022-12-26 19:02:01.547736,"[255, 35]"
2022-12-26 19:03:01.848715,"[253, 35]"
2022-12-26 19:04:02.177043,"[251, 35]"
2022-12-26 19:05:01.478202,"[250, 35]"
2022-12-26 19:06:01.779809,"[248, 34]"
2022-12-26 19:07:02.081683,"[248, 34]"
2022-12-26 19:08:01.417335,"[250, 34]"
2022-12-26 19:09:01.750953,"[250, 34]"
2022-12-26 19:10:02.061799,"[251, 34]"
2022-12-26 19:11:01.366153,"[251, 33]"
2022-12-26 19:12:01.672236,"[251, 33]"
